"Name","Colour"
"01 Solution: Power Platform","1F6FEB"
"02 Solution: OneDrive","0078D4"
"03 Agent: EA","B33DC6"
"04 Agent: PA","6F42C1"
"05 Agent: DCA","E85AAD"
"06 Schema: Project","0B4F6C"
"07 Schema: Price Policy","2D6E2E"
"08 Schema: Materials","1F9E89"
"09 Schema: Task Units","2A7F62"
"10 Schema: Material Task Units (MTU)","0D9488"
"11 Schema: Variant Type Master","10B981"
"12 Schema: Circuit Instance","8756FF"
"13 Schema: Assembly Template","E36209"
"14 Schema: Bill of Materials (BOM)","B07219"
"15 Platform: Power Automate Flows","00B5D1"
"16 Platform: Apps","8B5CF6"
"17 Platform: Security and Governance","57606A"
"18 Platform: ALM & Extensibility","4B5563"
"19 Critical","D0021B"
"20 Important","FFB000"
"21 Non-Critical","00A650"
"22 Install","0A84FF"
"23 EICR","C62828"
"24 Emergency Lighting","C0CA33"
"25 Testing","9C27B0"
"26 Fault Finding","FB8C00"
"27 Car Charger","00C853"
